; coding: utf-8

5028	Wiederholung
7500	Die nördlichen Mark brennen. Die Agenten des Kanzlers säen Lügen; die Grenzgarnisonen wenden sich gegeneinander. Der Bote des Königs findet Raynor — einen einst verbannten Ritter, die einzige Seele, die mutig genug ist, sich der Dunkelheit zu stellen. „Erobere die Grenze zurück“, flüstert der Bote. „Das Schicksal des Reiches liegt in deinen Händen.“
7501	Raynor erreicht die Grenzruinen mit einer Handvoll Überlebender. Kundschafter melden feindliche Vorstöße in der Nähe. Baue ein Haus und eine Kaserne — dies ist dein erster Stützpunkt im Norden.
7502	Hämmer erklingen in der neuen Kaserne. Rauch steigt über dem jungen Außenposten auf. Raynor weiß, dass der lange Krieg gerade erst begonnen hat — und der Feind wird ihm wenig Zeit zum Verschnaufen lassen.
7503	Verwandle einen Zergling in die eingegrabene Form
7504	Kontakt
7505	Bringe den Heiltrank zum verwundeten Kontakt
7506	Spitzhacke
7507	Gib die Spitzhacke dem verbündeten Bauern
7508	Ritterlanze
7509	Gib die Ritterlanze dem nördlichen Ritter
7510	Spionagestab
7511	Gib den Stab dem feindlichen Magier
7512	königliches Amulett
7513	Finde das königliche Amulett
7514	Schwert
7515	Kurzschwert
7516	leichte Rüstung
7517	Fußsoldatenrüstung
7518	Rüstung
7519	Nahkampf
7520	Waffe
7521	Heiltrank
7522	Manatrank
7523	Eilstiefel
7524	Kraftschwert
7525	Zauberring
7526	Goldmünze
7527	Gegenstand
7528	Trank
7529	Das Grenzdorf liegt in Trümmern. Überall liegen verwundete Soldaten; dem Heiler sind die Vorräte ausgegangen.
7530	Ein umherziehender Alchemist hält Raynor auf: „Bringt den Manatrank zum östlichen Schrein und einen Heiltrank zum Heiler — bitte, mein Herr.“
7531	Der Krieg macht keine Pause, doch Raynor hält inne. Nimm die Tränke auf und schließe beide Lieferungen ab.
7532	Bringe den Manatrank zum Nördlichen Schrein.
7533	Bringe den Heiltrank zum Dorfheiler.
7534	Der Heiler dankt ihm unter Tränen. Raynor wendet sich ab — die Intrigen der Hauptstadt brodeln noch in der Ferne.
7535	Sir Garrek — der nördliche Ritter, dem Raynor zuvor half — wird mit ihm marschieren, doch seine Ausrüstung ist zerstört und seine Kraft erschöpft.
7536	Kundschafter melden ein Kraftschwert in den nördlichen Ruinen und einen Zauberring in den südlichen Wäldern; Garreks Lanze ging beim letzten Vorstoß erneut verloren. Raynor wird seinen Verbündeten wieder kampftauglich machen.
7537	Finde das Kraftschwert in den Ruinen.
7538	Gib die Ritterlanze an Sir Garrek.
7539	Finde den Zauberring.
7540	Garrek greift wieder nach seiner Lanze, Klinge und Ring erglühen: „Raynor, das werde ich nicht vergessen.“
7541	Ein uraltes Grab tief im Wald birgt die Kriegskasse des Königreichs. Die Einheimischen munkeln, die Truhe sei durch Altarmagie versiegelt.
7542	Die Truhe öffnet sich nur am Steinaltar. Trage sie nach B2 und drücke dann in deinem Inventar die Eingabetaste, um den Schatz zu benutzen.
7543	Finde den rätselhaften Schatz im Grab.
7544	Bringe den rätselhaften Schatz zum Steinaltar.
7545	Benutze am Altar den rätselhaften Schatz aus deinem Inventar, um das darin enthaltene Gold zu erhalten.
7546	Raynor erreicht den Steinaltar mit dem versiegelten Schatz. Öffne dein Inventar und benutze ihn hier.
7547	Der verbündete Schmied benötigt Material, um die Garnison neu zu schmieden, bevor der Kanzler erneut angreift.
7548	Finde die Eilstiefel in der Nähe des alten Wachturms.
7549	Bringe das Kurzschwert zum verbündeten Schmied.
7550	Bringe die Fußsoldatenrüstung zum verbündeten Schmied.
7551	Hämmer erklingen. Raynors Garnison trägt endlich richtigen Stahl.
7555	rätselhafter Schatz
7556	Dorfheiler
7557	Sir Garrek
7558	verbündeter Schmied
7559	Schrein
7560	Der Schreinhüter nimmt den Manatrank entgegen und murmelt ein Gebet: „Möge das Licht Lord Raynors Marsch beschützen.“
7561	geöffnete Schatztruhe
7562	Ein weiteres Grab birgt eine versiegelte Truhe, gebunden durch Altarmagie. Raynor braucht dieses Gold.
7563	Trage die Truhe zum Bindealtar und lege sie dort ab, um das Siegel zu brechen.
7564	Finde den versiegelten Schatz im Grab.
7565	Lege den versiegelten Schatz auf dem Bindealtar ab.
7566	Sammle alle Goldmünzen ein, die auf dem Altar verstreut sind.
7567	Gold ergießt sich über den Altar! Raynor ruft: „Schnell — Banditen kommen!“
7568	versiegelter Schatz
7569	Die Gegenoffensive naht und die Frontlinie hungert. Eine Kiste mit Kriegsgütern wartet am Wegesrand — Raynors letzter Nachschub.
7570	Bringe die Kiste zum Verbündeten Depot. Lege sie dort auf dem Boden ab, um sie zu übergeben.
7571	Nimm die Kriegsvorräte auf.
7572	Lege die Kriegsvorräte beim Verbündeten Depot ab.
7573	Der Quartiermeister salutiert: „Lord Raynor, die Männer können noch zehn Tage durchhalten.“
7574	Kriegsvorräte
