;	coding: utf-8
0	нічога!
1	Вы
3	Перад вамі
4	За вамі
5	Якія будуць загады?
23	і
38	Вы маеце
39	здароўя з
40	ўзровень
54	на
55	метраў
59	гулец
60	вы
61	забіты
65	хвілін
66	секунд
67	поўначы
68	поўдні
69	усходзе
70	захадзе
71	паўночным усходзе
72	паўночным захадзе
73	паўднёвым усходзе
74	паўднёвым захадзе
79	на лузе, акружаным дрэвамі
80	лес
81	залатая капальня
82	ратуша
83	ферма
84	дарога
85	селянін
86	ратнік
87	лучнік
88	вораг
89	саюзнік
99	казарма
100	ісці
101	будаваць
102	выпрацаваць
103	патруляваць
104	рэжым
105	ёсць!
106	спыніць
107	на
108	на
110	наступу
111	абароны
112	трымаць пазіцыю
113	маскіравацца
114	атака
115	на
116	на ўсходзе
117	на захадзе
118	рамантаваць
119	на
120	бой
121	супраць
122	поле
123	наняць
124	гатовы!
125	накіроўваць
126	завершана
127	адмена
128	будаваць
129	патрабуецца
130	юнітаў
131	золата
132	дрэва
133	ежы
134	змяшчае
135	недастаткова
136	тое ж самае!
137	харчавання
138	Пад кантролем
139	група
142	спыніць вытворчасць
143	чарга запоўненая
144	выпрацаваны
145	нейтралізавана
146	страчана
147	вытворчасць
148	пільня
149	Перамога!
150	Параза
151	1
152	трывога
153	мост
154	адкрыты
155	вы дасягнулі ўзроўню
156	у цэнтры
2008	націсніце F5 для паўторнага праслухоўвання
2010	націсніце
2011	для
2012	Tab
2013	пераходу па пунктах меню
2014	Enter
2015	пацверджання выбранага пункта меню
2016	A і Q
2017	загадаць
2018	Z і S
2019	кантраляваць іншага юніта
2020	X ці W
2021	праверыць рэсурсы
2022	1, 2 ці 3
2023	кантраляваць групу
2024	0
2025	кантраляваць асобнага юніта
2026	backspace
2027	дае загад па змаўчанні для абранай мэты
2028	F5 і F6
2029	гісторыя
2030	Alt
2031	перапыніць маўленне
2032	escape
2033	адмены
2034	shift
2035	у зваротным парадку
2036	адкрыцця меню
2037	клавішы стрэлкі
2038	перамяшчэнне па мапе
2039	control
2040	з ігнараваннем перашкодаў
2041	старонка ўніз
2042	пераходу да наступнага вашага квадрата
2043	space
2044	перамяшчэння ў квадрат юніта, які ў дадзены момант кантралюецца, і сачэння за ім
2045	кіравання наступным лакальным юнітам
2046	выбару наступнай мэты
2047	выбару наступнага загаду
2048	кіравання ўсімі юнітамі аднаго тыпу, размешчаных у бягучым квадраце
2049	пацверджання выбранага загаду
2050	аддачы загаду па змаўчанні для бягучай мэты
2051	праслухоўвання колькасці золата, дрэва і харчавання, якія ёсць у вас
2052	праслухоўвання здароўя бягучага юніта
2053	кіравання паловай юнітаў аднаго тыпу,размешчаных у тым жа квадраце што і бягучы юніт
2054	кіравання толькі адным юнітам
2055	q
2056	кіравання ўсімі войскамі размешчанымі ў бягучым квадраце
2057	кіравання ўсімі сялянамі размешчанымі ў бягучым квадраце
2058	кіравання наступным будынкам
2059	кіравання наступным селянінам
3000	0
3001	адзін
3002	два
3003	тры
3004	чатыры
3005	пяць
3006	шэсць
3007	сем
3008	восем
3009	дзевяць
3010	дзесяць
3011	адзінаццаць
3012	дванаццаць
3013	трынаццаць
3014	чатырнаццаць
3015	пятнаццаць
3016	шаснаццаць
3017	сямнаццаць
3018	васямнаццаць
3019	дзевятнаццаць
3020	дваццаць
3021	дваццаць адзін
3022	22
3023	23
3024	24
3025	25
3026	26
3027	27
3028	28
3029	29
3030	трыццаць
3031	трыццаць адзін
3040	сорак
3041	сорак адзін
3050	пяцьдзесят
3051	пяцьдзесят адзін
3060	шэсцьдзесят
3061	шэсцьдзесят адзін
3070	семдзесят
3071	семдзесят адзін
3080	восемдзесят
3090	дзевяноста
3100	сто
3101	тысяча
3102	мільён
4000	гульня
4001	Інтэрнэт
4002	мясцовы
4004	апрацоўка
4005	правал
4006	поспех!
4007	калі ласка, зрабіце выбар
4008	калі ласка, адпраўляйце вашыя каментары на jlpo@free.fr
4009	Выхад
4010	Меню
4011	працягнуць
4012	памылка версіі
4014	стратэгія гульні
4015	кіраўнік
4016	адзін гулец
4017	мапа
4018	мультыплэер
4019	далучыць
4020	заданне:
4021	адбіць атакі ворага
4022	пабудавана
4023	нанята
4024	выдаткавана
4025	будынкаў
4026	набрана ачкоў
4028	націсніце F1 для атрымання дапамогі
4029	галоўнае меню
4030	калі ласка, зрабіце выбар
4031	адзіночная гульня,
4032	гульня на вашым кампутары
4033	шматкарыстальніцкая гульня,
4034	гульня праз Інтэрнэт
4035	сервер,
4036	запуск сервера на вашым кампутары для стварэння шматкарыстальніцкіх гульняў
4037	налады
4038	змена параметраў гульні
4041	выхад,
4042	закрыццё гульні
4043	які тып сервера хочаце стварыць?
4044	просты сервер
4045	толькі вы можаце ствараць гульні
4046	публічны сервер
4047	госці могуць ствараць гульні
4048	адмена
4049	Ваш сервер, верагодна, не змог зарэгістраваць сябе ў metaserver. Калі ласка, праверце вашае падлучэнне да Інтэрнэту.
4051	да пабачэння!
4052	Націскайце Tab для выбару. Націсніце Enter для пацверджання.
4053	прыняць запрашэнне
4054	далучыцца да гульні
4055	распачаць гульню на мапе
4056	сардэчна запрашаем
4057	памылка: тут занадта шмат гульняў
4058	запрасіць
4059	распачаць
4060	адмяніць гэтую гульню
4061	пакінуць гэтую гульню
4062	гульня пачнецца праз 5 секунд
4063	гульня пачнецца пасля пацверджання арганізатара
4064	націсніце enter для пацверджання
4066	цыклічна націскайце tab для пераходу паміж бачнымі аб'ектамі
4067	націскайце tab для выбару мэты і затым націсніце enter для пацверджання
4070	адмяніць гульню
4071	працягнуць гульню
4072	Немагчыма звязацца з metaserver. Калі ласка, праверце вашае падлучэнне да Інтэрнэту.
4073	сервер размешчаны на
4074	для
4075	адмена
4076	вярнуцца ў папярэдняе меню
4077	У дадзены момант няма ніводнага сервера зарэгістраванага ў metaserver. Калі ласка, паспрабуйце пазней.
4078	сервераў з
4079	выкарыстоўваюць сумяшчальную версію гульні. Калі ласка, абярыце сервер.
4080	памылка: сервер не змог запусціцца
4081	памылка: сервер недаступны. Сервер закрыты фаэрволам, альбо знаходзіцца за маршрутызатарам.
4082	памылка: нечаканы адказ сервера. Гэта не сервер SoundRTS
4083	памылка: падлучэнне адхілена серверам.Гэта не сервер SoundRTS
4084	ці ваш лагін быў адхілены
4085	памылка пры падлучэнні да сервера
4086	меню наладаў
4087	Змяніць ваш лагін
4096	захаваць,
4097	захаваць змены і вярнуцца ў галоўнае меню
4098	адмена,
4099	вярнуцца ў галоўнае меню без захавання зменаў
4101	адкрыецца новае акно
4102	злучэнне было перапыненае
4103	павольная гульня
4104	нармальная гульня
4105	хуткая гульня
4112	захаваць гульню
4113	загрузіць захаваную гульню
4114	гуляць супраць кампутара на мапе
4115	кампутар супраць кампутара
4118	вяртанне ў папярэдняе меню
4119	выбраць сервер са спісу публічных сервераў
4120	увесці ip адрас сервера
4121	прыватны сервер
4122	Сервер не будзе дададзены ў спіс публічных сервераў.
4200	вытворчасць драўніны палепшаная
4201	катапульта
4202	чакае загаду
4203	з
4204	не магу там пабудаваць
4205	вы не кіруеце ніводным юнітам
4206	дысплэй зараз уключаны
4207	дысплэй зараз выключаны
4208	невядома
4209	зацемнена
4210	F10 для доступу ў меню
4211	рэжым ад першай асобы
4212	рэжым мапы
4213	кузьня
4214	мадэрнізацыя
4215	мяча
4216	стрэлаў
4217	салдацкіх латаў
4218	броні лучніка
4219	да
4220	горад
4221	замак
4222	стайня
4223	меню
4224	было зменена
4225	рыцар
4226	майстэрня
4227	логава цмокаў
4228	вежа чараўнікоў
4229	чараўнік
4230	аэраплан
4231	цмок
4232	памылка сервера
4233	далёкасці луку
4234	у інтэрнэце даступная новая версія гульні
4235	увядзіце ваш новы лагін
4236	выкарыстоўваючы толькі англійскія літары і лічбы
4237	памылковы лагін
4238	новы лагін захаваны
4239	ваш новы лагін
4240	увайшоў на сервер
4241	увайшоў у гульню
4242	гульцоў з
4243	запрашае Вас
4244	Недастаткова гульцоў для пачатку гульні.Патрабуецца мінімум
4245	бягучы лагін
4246	дасягнуты максімальны ўзровень насельніцтва
4247	магіі з
4248	даследаванне
4249	супер лячэнне
4250	тэлепартацыя
4251	у
4252	недастаткова магіі
4253	працэнт гучнасці
4254	хуткасці каня
4255	вызначыць месца збору для новых юнітаў
4256	здабыта
4257	агрэсіўны кампутар
4258	пасіўны кампутар
4259	пакінуў сервер
4260	на сервер
4261	пакінуў гульню
4262	неабавязковыя гукі
4263	уключаны
4264	выключаны
4265	cheat рэжым
4266	перазапусціць
4267	кампанія
4268	новая мэта
4269	задача выкананая
4270	Місія завершаная
4271	заданне
4272	пралог
4273	эпілог
4274	канверсія
4275	дазорная вежа
4276	вежа з лучнікамі
4277	вежа з гарматамі
4278	загрузіць
4279	загрузіць усіх з
4280	выгрузіць
4281	выгрузіць усіх у
4282	увайдзіце ў
4283	цёмны лучнік
5000	a
5001	b
5002	c
5003	d
5004	e
5005	f
5006	g
5007	h
5008	i
5009	j
5010	k
5011	l
5012	m
5013	n
5014	o
5015	p
5016	q
5017	r
5018	s
5019	t
5020	u
5021	v
5022	w
5023	x
5024	y
5025	z
5026	кропка
4284	перамясціць
4285	у альянс
4286	сябар
4287	кажа
4288	увядзіце вашае паведамленне
4289	нябачны
4290	дэтэктар
4291	заступнік
4292	выклікаць
4293	падняць мерцвякоў
4294	уваскрашэнне
4295	зомбі
4296	шкілет
4297	жрэц
4298	храм
4299	пранікальны позірк
4300	загавор
4301	чалавек
4302	орк
4303	некрамант
4304	некропаль
4305	смяротны туман
4306	метэоры
4307	вяртанне
4308	камянёў
4309	каменяломня
4311	пацярпеў паразу
4312	Вы пацярпелі паразу
4313	Вы знаходзіцеся ў рэжыме назіральніка.
4314	плато
4315	прагляд запісаных гульняў
4316	Націсніце Control Shift F4 для назірання за іншым гульцом.
4317	Увядзіце каманду.
4318	зум
4319	змяніць парадак загрузкі модаў
4320	дадаць мод у спіс
4321	спіс пусты
4322	Загрузка
4323	пакеты
4324	меню пакетаў
4325	дадаць пакет
4326	адключыць пакет
4327	абнавіць пакет
4328	Запампоўванне...
4329	Распакоўка...
4330	Не ўдалося знайсці мод:
4331	земляны вал
4332	застава
4333	блок
4334	выпадковая фракцыя
4335	Дасягнуты ліміт
4336	адкрыць тэчку наладаў карыстальніка
4337	дакументацыя
4338	вялікі земляны вал
4339	вялікая застава
4340	Распачаць публічную гульню на мапе
4341	Моды
4342	Наборы гукаў
4343	хуткасць
4344	мора
4345	возера
4346	рака
4347	гара
4348	мост
4349	брод
4350	балота
4351	акіян
4352	горны перавал
4353	Уключыць аўтаматычны рамонт
4354	Адключыць аўтаматычны рамонт
4355	уключыць аўтаматычную выпрацоўку рэсурсаў
4356	адключыць Аўтаматычную выпрацоўку рэсурсаў
4357	верф
4358	Лодка
4359	Мінаносец
4360	лінкор
4361	падводная лодка
4362	луг
4363	лес
4364	густы лес
4365	пераключыць контратаку
4366	контратака ўключана
4367	контратака адключана
4368	варта
4369	пераслед
4370	захапіць
4372	залаты дом
4373	вырабляецца
4375	спыніць вытворчасць
4376	налады гуку
4377	налады балансу гуку
4378	уключыць баланс гуку
4379	адключыць баланс гуку
4380	пераключыць баланс гуку
4381	метад балансу гуку
4382	змяніць метад балансу гуку
4383	баланс гуку ўключаны
4384	баланс гуку адключаны
4385	квадратны корань
4386	лінейны
4387	лагарыфмічны
4388	няма
4389	атрыбуты
4390	націсніце адпаведную літару для інфармацыі
4391	націсніце Escape для выхаду
4392	выйсці з экрана атрыбутаў
4393	выбрана некалькі юнітаў: 
4394	няма даступных атрыбутаў
4395	: 
4396	шкода ў блізкім баі
4397	шкода ў дальнім баі
4398	абарона ў блізкім баі
4399	абарона ў дальнім баі
4400	перазарадка блізкага бою
4401	перазарадка дальняга бою
4402	дальнасць блізкага бою
4403	дальнасць дальняга бою
4404	супраць 
4405	бонус шкоды ў блізкім баі
4406	бонус шкоды ў дальнім баі
4407	здароўе
4408	стан
4409	вывучаныя тэхналогіі
4410	час падрыхтоўкі бліжняга бою
4411	час падрыхтоўкі далёкага бою
4412	мінімальная далечынь бліжняга бою
4413	мінімальная далечынь далёкага бою
4414	дакладнасць бліжняга бою
4415	дакладнасць далёкага бою
4416	ухіленне ад бліжняга бою
4417	ухіленне ад далёкага бою
4418	урон па плошчы бліжняга бою
4419	урон па плошчы далёкага бою
4420	радыус уражэння бліжняга бою
4421	радыус уражэння далёкага бою
4422	мінімальнаe згасанне ўрону па плошчы бліжняга бою
4423	мінімальнаe згасанне ўрону па плошчы далёкага бою
4424	бонус абароны ў блізкім баі
4425	бонус абароны ў дальнім баі
4426	бонус дальнасці блізкага бою
4427	бонус дальнасці дальняга бою
4428	бонус мін. дальнасці блізкага бою
4429	бонус мін. дальнасці дальняга бою
4430	бонус замаху блізкага бою
4431	бонус замаху дальняга бою
4432	бонус перазарадкі блізкага бою
4433	бонус перазарадкі дальняга бою
4434	бонус траплення ў блізкім баі
4435	бонус траплення ў дальнім баі
4436	бонус ухілення ў блізкім баі
4437	бонус ухілення ў дальнім баі
4438	бонус траплення блізкага бою па мясцовасці
4439	бонус траплення дальняга бою па мясцовасці
4440	бонус ухілення блізкага бою па мясцовасці
4441	бонус ухілення дальняга бою па мясцовасці
4442	бонус хуткасці
4443	бонус хуткасці на розных мясцовасцях
4444	мана
4445	зніжка
4446	аўтаразведка
4452	мадыфікатар блізкага бою па мясцовасці
4453	мадыфікатар дальняга бою па мясцовасці
4454	мадыфікатар перазарадкі блізкага бою па мясцовасці
4455	мадыфікатар перазарадкі дальняга бою па мясцовасці
4456	мадыфікатар шкоды атакі з разгону (блізкі) па мясцовасці
4457	мадыфікатар шкоды атакі з разгону (дальні) па мясцовасці
4458	мадыфікатар перазарадкі атакі з разгону (блізкі) па мясцовасці
4459	мадыфікатар перазарадкі атакі з разгону (дальні) па мясцовасці
4500	свае
4501	ворагі
4502	усе
4503	будынкі
4504	юніты
4505	элементы
4506	усе тыпы
4507	падмацаванні
4508	пераключыць на
4509	занадта рана
4510	падняць
4600	узровень
4601	вопыт
4602	/
4603	максімальны ўзровень
4604	час адраджэння
4605	павышэнне ўзроўню
4606	уваскрослы
4610	множнік крыта бліжняга бою
4611	множнік крыта далёкага бою
4612	шанец крыта бліжняга бою
4613	шанец крыта далёкага бою
4614	бонус множніку крыту блізкага бою
4615	бонус множніку крыту дальняга бою
4616	бонус шансу крыту блізкага бою
4617	бонус шансу крыту дальняга бою
4618	супраціўленне крыту бліжняга бою
4619	супраціўленне крыту далёкага бою
4620	бонус супраціву крыту блізкага бою
4621	бонус супраціву крыту дальняга бою
4622	прабіццё брані бліжняга бою
4623	прабіццё брані далёкага бою
4624	шанец прабіцця брані бліжняга бою
4625	шанец прабіцця брані далёкага бою
4626	бонус прабіцця блізкага бою
4627	бонус прабіцця дальняга бою
4628	бонус шансу прабіцця блізкага бою
4629	бонус шансу прабіцця дальняга бою
4630	супраціўленне прабіццю бліжняга бою
4631	супраціўленне прабіццю далёкага бою
4632	бонус супраціву прабіццю блізкага бою
4633	бонус супраціву прабіццю дальняга бою
4634	музыка
4635	музыка ўключана
4636	музыка выключана
4637	гучнасць у адсотках
4650	пачаць аўтаматычную вытворчасць
4651	пачаць ручную вытворчасць
4655	пачаць аўтаматычнае ўзрошчванне
4656	пачаць ручное ўзрошчванне
4657	ўзрошчванне
4658	ўзрошчваецца
4659	спыніць узрошчванне
4660	дом
4661	сад
4700	Назіраць за гульнёй
4701	Гульня ідзе
4702	Няма гульняў для назірання
4703	Выберыце гульню для назірання
4704	Назіранне за гульнёй
4705	Спыніць назіранне
4706	Вы назіраеце
4707	Назіральнік далучыўся
4708	Назіральнік выйшаў
4709	Гульня працягваецца
4710	павольны
4711	ворагаў у полі зроку няма
4712	атакуе
4713	цэнтр
4714	маштаб зума павінен быць ад 2 да 20
4715	увядзіце маштаб зума, напрыклад 3x3 або 4x4
4716	можа навучаць
#	канстанты паведамленняў атрыбутаў
4717	урон бліжняга рыўку
4718	бонус шкоды атакі з разгону (блізкі)
4719	урон далёкага рыўку
4720	бонус шкоды атакі з разгону (дальні)
4721	адкулдаун бліжняга рыўку
4722	адкулдаун далёкага рыўку
4723	далечынь бліжняга рыўку
4724	далечынь далёкага рыўку
4725	урон па плошчы бліжняга рыўку
4726	бонус сплэшу атакі з разгону (блізкі)
4727	урон па плошчы далёкага рыўку
4728	бонус сплэшу атакі з разгону (дальні)
4729	мінімальнаe згасанне бліжняга рыўку
4730	бонус затухання сплэшу атакі з разгону (блізкі)
4731	мінімальнаe згасанне далёкага рыўку
4732	бонус затухання сплэшу атакі з разгону (дальні)
4733	радыус бліжняга рыўку
4734	бонус радыуса атакі з разгону (блізкі)
4735	радыус далёкага рыўку
4736	бонус радыуса атакі з разгону (дальні)
4737	урон контр-рыўку бліжняга бою
4738	урон контр-рыўку далёкага бою
4739	бонус контратакі з разгону (блізкі)
4740	бонус контратакі з разгону (дальні)
4741	адкулдаун контр-рыўку бліжняга бою
4742	адкулдаун контр-рыўку далёкага бою
4743	далечынь контр-рыўку бліжняга бою
4744	далечынь контр-рыўку далёкага бою
4750	даступныя тэхналогіі
4751	даступныя навыкі
4752	вывучальныя тэхналогіі
4753	можна палепшыць да
4754	кошт маны
4755	эфект
4756	дальнасць эфекту
4757	радыус эфекту
4758	прымяніць бонус
4759	бонус
4760	узровень урону
4761	тып мэты шкоды эфекту
4762	метэоры
4763	бясконца
4764	прымяніць
4765	, працягласць
4768	кошт
4769	час
4770	насельніцтва
4771	патрабаванні
4772	прызваць
4773	лячэнне
4774	шкода
4775	уваскрасіць максімум
4776	юніты
4777	паўстаць мёртвых
4778	, тып:
4779	навярнуць варожых юнітаў
4780	перазарадка
4781	ачкі здароўя
4782	макс. ачкоў здароўя
4783	урон бліжняга бою
4784	урон далёкага бою
4785	абарона бліжняга бою
4786	абарона далёкага бою
4787	хуткасць перамяшчэння
4788	дальнасць агляду
4789	далечынь бліжняга бою
4790	далечынь далёкага бою
4791	адкулдаун бліжняга бою
4792	адкулдаун далёкага бою
4793	мана
4794	макс. маны
4795	час збору
4796	колькасць збору
4797	час вытворчасці
4798	колькасць вытворчасці
4799	кошт
4800	кошт часу
4801	кошт насельніцтва
4802	 — атрыбуты: 
4803	няма такога атрыбута
4804	няма бонуса
4805	хвілін
4806	прадастаўленае насельніцтва
4807	узровень лячэння
4808	секунд
4809	можа будаваць
4810	тып юніта
4811	клас
4812	будынак
4813	рабочы
4814	салдат
4815	эфект
4816	тэхналогія
4817	рамантуемыя і прышвартованыя караблі
4818	так
4819	не
4820	самападрыў у блізкім баі
4821	самападрыў у дальнім баі
4822	адсотак HP пры самазнішчэнні
4823	кфацыйент урону выбуху
4824	дальнасць агляду
4825	тыпы мэтаў блізкага бою
4826	тыпы мэтаў дальняга бою
4827	можа збіраць
4828	час збору
4829	колькасць збору
4830	можа рамантаваць
4831	наземная мэта
4832	паветраная мэта
4833	мэта-будынак
4834	мэта-юніт
4835	усе
4836	тып рэсурсу
4837	час здабычы
4838	аб'ём здабычы
4839	рэгенерацыя рэсурсаў
4840	макс. ёмістасць рэсурсаў
4841	пачатковая ёмістасць рэсурсаў
4842	тып радовішча
4843	назва рэсурсу
4844	падтып
4845	рамантуемы
4846	вылечны
4847	ёмістасць транспарту
4848	транспартны аб'ём
4849	атакуемыя пасажыры ўнутры
4850	бонус пагрузкі
4927	бонус пасажыра
4928	шанс траплення па юнітах унутры звонку
4851	труп
4852	зямля
4853	паветра
4854	вада
4855	вырабляе
4856	не вырабляе
4857	няжыць
4858	рэсурс
4859	бягучая зброя
4860	даступная зброя
4861	пераключальнае
4862	змяніць зброю
4863	меч
4864	лук
4865	назва зброі
4866	браня
4867	бягучая браня
4868	назва брані
4871	браня
4872	блізкі бой
4873	зброя
4875	інвентар
4876	назва прадмета
4877	аб'ём сутыкнення
4878	выдаткоўваецца пры падборы
4879	здабыча
4880	узнагароды рэсурсамі
4881	навыкі
4882	бафы
4883	прадмет
4885	герой
4886	кароткі меч
4887	тып вытворчасці
4888	уводзіны
4889	Базавы рабочы юніт: збірае рэсурсы, будуе будынкі і рамантуе караблі. Аснова любой цывілізацыі.
4890	Базавая пяхота блізкага бою з мячом і браняй. Танная ў навучанні і складае аснову арміі.
4891	радыус лячэння
4892	радыус урону
4893	далечынь лячэння
4894	далечынь урону
4895	адкулдаун лячэння
4896	адкулдаун урону
4897	падрыхтоўка лячэння
4898	падрыхтоўка урону
4899	адкулдаун аднаўлення HP
4900	падрыхтоўка аднаўлення HP
4901	адкулдаун аднаўлення маны
4902	падрыхтоўка аднаўлення маны
4903	тыпы мэтаў для лячэння
4904	за ўровень
4905	прыrost
4906	аднаўленне HP
4907	бягучая колькасць
4908	максімальная колькасць
4909	катэгорыя
4910	ёмістасць інвентара
4911	аднаўленне маны
4912	мінімальны ўрон бліжняга бою
4913	мінімальны ўрон далёкага бою
4914	радыус бафа
4915	мінімальны ўрон
4916	затрымка снярада бліжняга бою
4917	затрымка снярада далёкага бою
4918	працягласць стану бліжняга бою
4919	працягласць стану далёкага бою
4924	прымусывы ўрон
4925	мінімальная далечынь бліжняга рыўку
4926	мінімальная далечынь далёкага рыўку
4920	дамова
4921	Дамова дзейнічае, атакі забаронены
4922	Дамова скончана, можна змагацца
4923	няма дамовы
4930	алень
4931	авечка
4932	туша
4933	кабан
4934	гнаць
4935	ідзе следам
4936	тэхнікі палявання
4950	Кааператыўная кампанія
4951	Лакальная кааператыўная кампанія
4952	Выберыце кааператыўную кампанію
4953	Выберыце кааператыўную главу
4954	Саюзнікі для кааператыву ўстаноўлены
4955	Супрацоўнічайце з напарнікам, каб прайсці кампанію
4960	дыпламатыя
4961	няма кандыдата
4962	у саюзе з
4963	саюз скасаваны з
4964	узаемны
4965	аднабаковы
4966	прапанаваць саюз з
4967	адклікаць запыт саюзу з
4968	запыт саюзу ад
4969	саюз прыняты з
4970	саюз адхілены з
4971	саюзы ў гэтай гульні заблакаваныя
4972	Запыт саюзу адпраўлены
4973	Запыт саюзу адхілены
4974	Запыт саюзу адкліканы
4975	Саюз заключаны
4976	вада непраходная
4977	суша непраходная
4978	незавершана, непраходна
4980	Бягучая эпоха
4981	Цёмная эпоха
4982	Феадальная эпоха
4983	Эпоха замкаў
4984	Імперская эпоха
4985	можа перайсці ў
4986	працягнуць незавершаную гульню
4987	працягнуць з таго месца, дзе спыніліся
4988	выберыце слот захавання
4989	захаванні не знойдзены
4990	захаванне
4991	пусты слот
4992	захавана
4993	прагрэс захаваны, можна працягнуць пазней
4994	увядзіце новае імя. Enter — пацвердзіць, Escape — адмена
4995	выдаліць гэты элемент? Enter — пацвердзіць, Escape — адмена
4996	выдалена
4997	перайменавана
4998	недапушчальнае імя
4999	скасавана
5027	нейтральны
5028	replay
5029	не нейтральны
5030	дадатковая мэта
5031	дадатковая мэта скасавана
5032	асноўная мэта
5033	выпадковая карта
5034	шаблон
5035	стандартны
5036	хуткі
5037	борка за цэнтр
5038	макра
5039	эканамічны
5040	памер карты
5041	малая
5042	сярэдняя
5043	вялікая
5044	колькасць гульцоў
5045	гульцоў
5046	сіла манстраў
5047	слабая
5048	сярэдняя
5049	моцная
5050	размеркаванне рэсурсаў
5051	раўнамернае
5052	скучанае
5053	мясцовасць
5054	выпадковая
5055	раўніна
5056	балота
5057	горы
5058	seed
5059	лініі
5060	борка за лініі
5061	выпадковы seed
5062	уласны seed
5063	увядзіце нумар seed
5064	карта створана
5065	рэжым каманд
5066	кожны супраць кожнага
5067	дзве каманды
5750	адзін супраць многіх
5068	вада
5069	без вады
5070	возера
5071	рака
5072	скарб
5073	без скарбаў
5074	мала скарбаў
5075	шмат скарбаў
5076	код для абмену
5077	імпартаваць код
5078	увядзіце код
5079	няверны код
5080	папярэдні прагляд карты
5081	скрыня з скарбамі
5082	арбалетчык з шматзарадным арбалетам
5083	жывёла
5084	прадастаўляе будаўнічае поле
5085	патрабуе будаўнічае поле
5086	радыус будаўнічага поля
5087	рэжым будаўніцтва
5088	сумеснае будаўніцтва
5089	паставіць і сысці
5090	будаўніцтва ахвярай
5091	будуецца само
5092	ахвяруе рабочага
5093	можна будаваць на любой сушы
5094	прыбудова
5095	тыпы галоўных будынкаў
5096	можа мець прыбудову
5097	ліміт прыбудоў
5100	будаўнічае поле захоўваецца
5101	будаўнічае поле распаўсюджваецца
5102	патрэбна метка на клетцы
5103	губляе сілкаванне без поля
5104	клетак распаўсюджвання ў секунду
5105	патрабуе радовішча
5106	размясціць эфект поля бою
5107	рыштаванне
5108	пралёт моста
5109	насціл моста
5110	запасы
5111	мэты фазавага бонуса
5112	юніты паляпшаюцца аўтаматычна
5115	мяса
5116	ягады
5117	прадмет вытворчасці
5118	аўтаматычная вытворчасць
5119	ручная вытворчасць
5120	аўтаматычнае ўзрошчванне
5121	ручное ўзрошчванне
5122	манетны двор
5123	залая манета
5113	акрамя
5114	любая мэта акрамя
5190	брыфінг місіі
5191	асноўныя мэты
5192	дадатковыя мэты
5193	складанасць
5194	стандартная
5195	сярэдняя
5196	складаная
5197	заблакавана
5198	завершана
