;	coding: utf-8
0	nic!
1	jste
3	před vámi
4	za vámi
5	Jaké jsou vaše rozkazy?
23	a
38	máte
39	životů z
40	úroveň
54	na
55	metrů
59	hráč
60	jste
61	zabit
65	minut
66	sekund
67	sever
68	jih
69	východ
70	západ
71	severovýchod
72	severozápad
73	jihovýchod
74	jihozápad
79	na louce porostlé stromy
80	les
81	zlatý důl
82	radnice
83	farma
84	cesta
85	rolník
86	pěšák
87	lučištník
88	nepřítel
89	přítel
99	kasárna
100	jít
101	postavit
102	těžit
103	hlídkovat
104	režim
105	OK!
106	zastavit
107	na
108	na
110	útočný
111	obranný
112	zůstat na místě
113	maskovat se
114	útok
115	na
116	na východ
117	na západ
118	opravit
119	na
120	boj
121	proti
122	louka
123	naverbovat
124	připraven!
125	shromáždit
126	dokončen
127	zrušit
128	stavba
129	vyžaduje
130	jednotky
131	zlata
132	dřeva
133	jídla
134	obsahuje
135	není dost
136	totéž!
137	jídla
138	ovládáte
139	skupinu
142	produkce pozastavena
143	fronta je plná
144	vyčerpán
145	neutralizováno
146	ztraceno
147	produkce
148	pila
149	vítězství!
150	porážka
151	1
152	varování
153	most
154	otevřeno
155	postoupili ste
156	v centru
2008	stiskněte F5 pro opakovaný poslech
2010	stiskněte
2011	na
2012	Tab
2013	zvolte
2014	Enter
2015	potvrzení
2016	A a Q
2017	rozkaz
2018	Z a S
2019	ovládání další jednotky
2020	X nebo W
2021	zkontrolování zdrojů
2022	1, 2 nebo 3
2023	ovládání skupiny
2024	0
2025	ovládání jednoho z jednotky
2026	Backspace
2027	dát typický příkaz pro vámi zvolený cíl
2028	F5 a F6
2029	historie
2030	Alt
2031	přerušení řeči
2032	Escape
2033	zrušit
2034	Shift
2035	zpět
2036	otevření menu
2037	kurzorové šipky
2038	pohyb po mapě
2039	Control
2040	ignorování překážek
2041	Page Down
2042	přesun na další zajímavé políčko
2043	mezerník
2044	přesun na políčko jednotky, kterou právě ovládáte a sledovat ji
