;	coding: utf-8
0	Rien !
1	Vous vous trouvez
3	Devant vous,
4	Dairrière vous,
5	Que faites vous ?
23	et
38	Vous avez
39	points de vie sur
40	Niveau
54	a
55	mètres
59	le joueur
60	Vous êtes
61	a tué
65	minutes
66	secondes
67	nord
68	sud
69	èst
70	ouest
71	nord-èst
72	nord-ouest
73	sud-èst
74	sud-ouest
79	dans une prairie entourée d'arbres
80	bois
81	mine d'or
82	hôtel de ville
83	ferme
84	un passage
85	paysan
86	fantassin
87	archer
88	ennemi
89	ami
99	caserne
100	aller
101	construire
102	exploiter
103	patrouiller
104	mode
105	ok!
106	stopper
107	en
108	au
110	offensif
111	défensif
112	tenir position
113	discret
114	attaquer
115	vers
116	a l'est
117	a l'ouest
118	réparer
119	sur
120	combat
121	contre
122	une prairie
123	recruter
124	prêt !
125	ralliement
126	terminé
127	annuler
128	construction
129	nécessite
130	unités
131	or
132	bois
133	rations
134	contient
135	pas assez
136	idem!
137	rations
138	Vous dirigez
139	un groupe
142	production suspendue
143	file d'attente pleine
144	épuisé
145	neutralisé
146	perdu
147	production
148	scierie
149	Victoire!
150	Défaite
151	une
152	alerte
153	un pont
154	ouverte
155	Vous êtes parvenu au niveau
156	au centre
2008	Appuyez sur F5 pour réécouter tout ceci
2010	appuyez sur
2011	pour
2012	Tab
2013	sélectionner
2014	Entrée
2015	confirmer
2016	A et Q
2017	donner un ordre
2018	Z et S
2019	diriger une autre unité
2020	X ou W
2021	faire le point des ressources
2022	1, 2 ou 3
2023	diriger un groupe
2024	0
2025	diriger une seule unité
2026	backspace
2027	donner un ordre par défaut
2028	F5 et F6
2029	l'historique
2030	Alt
2031	interrompre la phrase en cours
2032	échap
2033	annuler
2034	maj
2035	en arrière
2036	accéder au menu
2037	flèches de direction
2038	se déplacer sur la carte
2039	control
2040	en franchissant les obstacles
2041	page suivante
2042	se déplacer vers la case connue suivante
2043	espace
2044	se déplacer vers la case de l'unité dirigée et suivre cette unité
2045	diriger l'unité locale suivante
2046	sélectionner la cible suivante
2047	sélectionner l'ordre suivant
2048	contrôler toutes les unités de même type et de même zone que l'unité en cours
2049	valider l'ordre en cours
2050	donner l'ordre le plus logique sur la cible en cours
2051	connaître l'or, le bois et la nourriture disponibles
2052	connaître la santé de l'unité dirigée
2053	contrôler la moitié des unités de même type et de même zone que l'unité en cours
2054	contrôler une seule unité
2055	kku
2056	contrôler tous les soldats de la case en cours
2057	contrôler tous les paysans de la case en cours
2058	contrôler le bâtiment suivant
2059	contrôler le paysan suivant
3000	0
3001	1
3002	2
3003	3
3004	4
3005	5
3006	6
3007	7
3008	8
3009	9
3010	10
3011	11
3012	12
3013	13
3014	14
3015	15
3016	16
3017	17
3018	18
3019	19
3020	20
3021	21
3022	22
3023	23
3024	24
3025	25
3026	26
3027	27
3028	28
3029	29
3030	30
3031	31
3040	40
3041	41
3050	50
3051	51
3060	60
3061	61
3070	70
3071	71
3080	80
3090	90
3100	100
3101	1000
3102	million
4000	Jeu
4001	Internet
4002	local
4004	en cours
4005	échec
4006	Réussite !
4007	Que souhaitez-vous ?
4008	Merci d'envoyer vos suggestions à jlpo@free.fr .
4009	Quitter
4010	Menu
4011	continuer
4012	erreur de version
4014	jeu de stratégie
4015	scénario
4016	solo
4017	carte
4018	multijoueur
4019	rejoindre
4020	objectif : 
4021	repousser les attaques ennemies
4022	produit
4023	produite
4024	consommé
4025	bâtiment
4026	score
4028	Appuyez sur F1 pour obtenir de l'aide.
4029	Menu principal
4030	Que souhaitez-vous ?
4031	Un seul joueur,
4032	jouer seul sur votre ordinateur
4033	Multijoueur,
4034	jouer à plusieurs sur Internet
4035	Serveur,
4036	lancer un serveur sur votre ordinateur pour héberger des parties multijoueur
4037	Options,
4038	modifier vos paramètres
4041	Quitter,
4042	quitter ce programme
4043	Quel type de serveur ?
4044	serveur simple
4045	vous seul créez les parties
4046	serveur public
4047	un autre peut créer une partie
