;	coding: utf-8
0	Nada!
1	está
3	diante de você
4	atrás de você
5	O que deseja fazer?
23	e
38	Tens
39	pontos de vida de
40	nível
54	em
55	metros
59	O jogador
60	está
61	morto
65	minutos
66	segundos
67	norte
68	sul
69	leste
70	oeste
71	nordeste
72	noroeste
73	sudeste
74	sudoeste
79	em uma clareira rodeada de árvores
80	bosque
81	mina de ouro
82	prefeitura
83	fazenda
84	um caminho
85	operário
86	soldado
87	arqueiro
88	inimigo
89	amigo
99	quartel
100	ir
101	construir
102	explorar
103	patrulhar
104	modo
105	ok!
106	deter
107	em
108	encontra-se ao
110	ofensivo
111	defensivo
112	manter posição
113	roubado
114	ataque
115	a
116	encontra-se ao leste
117	encontra-se ao  oeste
118	reparar
119	em
120	combate
121	contra
122	um terreno
123	recrutar
124	pronto!
125	reunião
126	completado
127	cancelar
128	construção
129	requer
130	unidades
131	de ouro
132	de madeira
133	unidades de comida
134	contém
135	insuficiente
136	o mesmo!
137	unidades de comida
138	estão às suas ordens:
139	para grupos
142	produção pausada
143	A lista está cheia
144	esgotado
145	neutralizado
146	perdido
147	produção
148	marcenaria
149	Vitória
150	Derrota
151	1
152	alerta
153	uma ponte
154	abrir
155	Foi alcançado o nível
156	no centro
2008	aperte f5 para ouvir novamente
2010	aperte
2011	para
2012	Tab
2013	selecionar
2014	Enter
2015	confirmar
2016	A e Q
2017	dá uma ordem
2018	Z e S
2019	controlar outra unidade
2020	X ou W
2021	comprovar recursos
2022	1, 2 o 3
2023	controlar um grupo
2024	0
2025	controlar só uma unidade
2026	back space
2027	Dá a ordem mais lógica para o objetivo selecionado
2028	F5 e F6
2029	histórico
2030	Alt
2031	interromper a fala
2032	escape
2033	cancelar
2034	shift
2035	voltar
2036	abrir o menu
2037	setas de direção
2038	mover-se no mapa
2039	control
2040	ignorando os obstáculos
2041	página para baixo
2042	mover-se ao próximo  quadrado interessante
2043	barra de espaço
2044	ir ao quadrado da  unidade que está sendo controlada, e a segue
2045	controlar a seguinte unidade local
2046	selecionar o seguinte objetivo
2047	selecionar a próxima ordem
2048	selecionar as mesmas unidades do mesmo tipo e no mesmo quadrado
2049	confirmar a ordem dada
2050	dar a ordem mais lógica para o objetivo selecionado
2051	saber quanto de ouro, madeira e comida tem
2052	saber a saúde da unidade selecionada
2053	controlar a metade das unidades do mesmo tipo e no mesmo quadrado que a unidade selecionada
2054	controlar só uma unidade
2055	q
2056	controlar todos os soldados do quadrado selecionado
2057	controlar todos os operários do quadrado selecionado
2058	controlar a construção seguinte
2059	controlar o operário seguinte
3000	0
3001	1
3002	2
3003	3
3004	4
3005	5
3006	6
3007	7
3008	8
3009	9
3010	10
3011	11
3012	12
3013	13
3014	14
3015	15
3016	16
3017	17
3018	18
3019	19
3020	20
3021	21
3022	22
3023	23
3024	24
3025	25
3026	26
3027	27
3028	28
3029	29
3030	30
3031	31
3040	40
3041	41
3050	50
3051	51
3060	60
3061	61
3070	70
3071	71
3080	80
3090	90
3100	100
3101	1000
3102	milhão
4000	jogo
4001	Internet
4002	local
4004	processando
4005	erro
4006	correto
4007	O quê deseja fazer?
4008	por favor, comentários e sugestões a jlpo@free.fr
4009	Sair
4010	Menu
4011	continuar
4012	erro de versão
4014	jogo de estratégia
4015	capítulo
4016	jogar sozinho
4017	mapa
4018	multijogador
4019	unir-se
4020	objetivos:
4021	resistir ao ataque inimigo
4022	produzido
4023	produzidos
4024	consumido
4025	construção
4026	pontuação
4028	para ajuda, aperte f1
4029	menu principal
4030	o que deseja fazer?
4031	jogar sozinho
4032	jogar com seu computador
4033	multijogador,
4034	jogar através da Internet
4035	servidor,
4036	iniciar um servidor em seu computador para partidas multijogador
4037	opções,
4038	modificar a configuração
4041	sair,
4042	sair do jogo
4043	que tipo de servidor?
4044	servidor simples
4045	só você poderá criar partidas
4046	servidor público
4047	os visitantes poderão criar partidas
4048	cancelar
4049	O servidor não pode conectar-se ao metaservidor. É possível que sua conexão à internet esteja falhando.
4051	adeus
4052	Aperte Tab para selecionar, e aperte Enter para confirmar.
4053	Aceitar o convite de
4054	rejuntar-se à partida de
4055	iniciar jogo em
4056	bem-vindo
4057	Erro: muitas partidas
4058	convidar
4059	começar
4060	cancelar a partida
4061	sair desta partida
4062	a partida começará em 5 segundos
4063	a partida irá começar quando o organizador estiver pronto
4064	aperte enter para confirmar
