;	coding: utf-8
0	nič!
1	ste
3	pred vami
4	za vami
5	Aké sú vaše rozkazy?
23	a
38	máte
39	hitpointy z
40	level
54	na
55	metrov
59	hráč
60	ste
61	zabitý
65	minút
66	sekund
67	sever
68	juh
69	východ
70	západ
71	severovýchod
72	severozápad
73	juhovýchod
74	juhozápad
79	na lúke porastenej stromami
80	les
81	zlatá baňa
82	radnica
83	farma
84	cesta
85	roľník
86	pešiak
87	lukostrelec
88	nepriateľ
89	priateľ
99	kasáreň
100	ísť
101	postaviť
102	ťažiť
103	hliadkovať
104	režim
105	ok!
106	zastaviť
107	na
108	na
110	útočný
111	obranný
112	ostať namieste
113	zatajiť sa
114	útok
115	na
116	na východ
117	na západ
118	upraviť
119	na
120	boj
121	proti
122	lúka
123	naverbovať
124	pripravený!
125	zhromaždiť
126	dokončený
127	zrušiť
128	stavba
129	vyžaduje
130	jednotky
131	zlata
132	dreva
133	jedla
134	obsahuje
135	nie je dosť
136	totiž!
137	jedla
138	ovládate
139	skupina
142	produkcia pozastavená
143	fronta je plná
144	vyčerpaný
145	neutralizovaných
146	stratených
147	produkcia
148	píla
149	víťazstvo!
150	porážka
151	1
152	upozornenie
153	most
154	otvorené
155	postúpili ste
156	v strede
2008	stlačte F5 pre opakované vypočutie
2010	stlačte
2011	na
2012	Tab
2013	vyberte
2014	Enter
2015	potvrdenie
2016	A a Q
2017	rozkaz
2018	Z a S
2019	ovládanie ďalšej jednotky
2020	X alebo W
2021	skontrolovanie zdrojov
2022	1, 2 alebo 3
2023	ovládanie skupiny
2024	0
2025	ovládanie jedného z jednotky
2026	Backspace
2027	dať typický príkaz pre vami vybraný cieľ
2028	F5 a F6
2029	história
2030	Alt
2031	prerušenie reči
2032	Escape
2033	zrušiť
2034	Shift
2035	späť
2036	otvorenie menu
2037	kurzorové šípky
2038	pohyb po mape
2039	Control
2040	ignorovanie prekážok
2041	Page Down
2042	presun na ďalšie zaujímavé políčko
2043	medzerník
2044	presun na políčko jednotky, ktorú práve ovládate a sledovať ju
2045	ovládanie miestnej jednotky
2046	výber ďalšieho cieľa
2047	výber ďalšieho rozkazu
2048	ovládanie jednotky rovnakého typu, na rovnakom polyčku, ako je vami vybraná jednotka
2049	potvrdenie vami vybraného príkazu
2050	spoločný rozkaz pre vami vybraný cieľ
2051	vypočutie, koľko máte zlata, dreva a jedla
2052	vypočutie zdravia vami vybranej jednotky
2053	ovládanie polovice jednotky rovnakého typu a na rovnakom políčku, ako ste vybrali
2054	ovládanie jedného z jednotky
2055	q
2056	ovládanie všetkých vojakov na rovnakom políčku, ktoré ste vybrali
2057	ovládanie všetkých roľníkov na vami vybratom políčku
2058	ovládanie ďalšej stavby
2059	ovládanie ďalšieho roľníka
3000	0
3001	1
3002	2
3003	3
3004	4
3005	5
3006	6
3007	7
3008	8
3009	9
3010	10
3011	11
3012	12
3013	13
3014	14
3015	15
3016	16
3017	17
3018	18
3019	19
3020	20
3021	21
3022	22
3023	23
3024	24
3025	25
3026	26
3027	27
3028	28
3029	29
3030	30
3031	31
3040	40
3041	41
3050	50
3051	51
3060	60
3061	61
3070	70
3071	71
3080	80
3090	90
3100	sto
3101	tisíc
3102	milión
4000	hra
4001	na internete
4002	na počítači
4004	pracuje sa
4005	zlihalo
4006	úspešne
4007	vyberte si
4008	pošlite svoje pripomienky na jlpo@free.fr
4009	ukončiť
4010	menu
4011	pokračovať
4012	chyba verzie
4014	strategická hra
4015	kapitola
4016	jeden hráč
4017	mapa
4018	viac hráčov
4019	pripojiť sa
4020	úloha:
4021	obrániť sa nepriateľským útokom
4022	produkovaný
4023	produkovaných
4024	využitých
4025	stavba
4026	skóre
4028	stlačte F1 pre pomoc
4029	hlavné menu
4030	vyberte si
4031	jeden hráč
4032	hrať na vašom počítači
4033	viac hráčov
4034	hrať na internete
4035	server
4036	spustiť server na vašom počítači pre vytváranie hier pre viacero hráčov
4037	nastavenia
4038	zmeňte svoje parametre
4041	koniec
4042	ukončiť tento program
4043	Aký druh serveru?
4044	jednoduchý server
4045	len ty môžeš vytvárať hry
4046	verejný server
4047	hráč môže vytvárať hry
4048	zrušiť
4049	Váš server nemôže byť registrovaný na metaservery. Skontrolujte vaše pripojenie na internet.
4051	dovidenia
4052	stlačte tab na výber. stlačte enter na potvrdenie
4053	akceptovať pozvanie od
4054	pripojiť sa
4055	začať hru na
4056	vitajte
4057	Chyba: Je príliš veľa hier!
4058	pozvať
4059	začať
4060	zrušiť túto hru
4061	opustiť túto hru
4062	hra začne o 5 sekund
4063	hra začne, keď organizátor bude pripravený.
4064	stlačte enter pre potvrdenie
4066	stlačte opakovane tab pre okruh všetkých viditeľných objektov
4067	stlačte tab na výber cieľa a potom enter pre potvrdenie
4070	zrušiť hru
4071	pokračovať v hre
4072	nedá sa spojiť s metaserverom
4073	server vytvorený užívateľom
4074	pre
4075	zrušiť
4076	späť na predošlé menu
4077	momentálne nie je žiaden server registrovaný na metaservery. Skuste to neskôr.
4078	servery na
4079	použite kompatibilnú verziu
4080	Chyba: Server sa nemôže spustiť.
4081	Chyba: Server nedosiahnuteľný. Server je pravdepodobne uzatvorený bránou Firewall, alebo rutrom.
4082	chyba: Nežiadúce údaje boli odoslané z tohoto servera. Toto nie je Sound RTS server.
4083	chyba: pripojenie zamietnuté serverom. Toto nie je Sound RTS server.
4084	alebo vaše prihlasovacie meno bolo zamietnuté.
4085	chyba pri pripájaní na server
4086	menu nastavenia
4087	zmeňte vaše prihlasovacie meno
4096	uložiť
4097	uložiť vaše nastavenia a návrat do hlavného menu
4098	zrušiť,
4099	vrátiť sa do hlavného menu bez nastavenia zmien
4101	nové okno bude otvorené
4102	pripájanie bolo prerušené
4103	nastaviť rýchlosť hry na pomalú
4104	nastaviť rýchlosť hry na normálnu
4105	nastaviť rýchlosť hry na rýchlu
4112	uložiť hru
